number,text
marginal note 225,Tyranny of Maxentius in Italy and Africa. A. D. 306—312.
marginal note 226,Civil war between Conſtantine and Maxentius. A. D. 312.
marginal note 227,Preparations.
marginal note 228,Conſtantine paſſes the Alps.
marginal note 229,Battle of Turin.
marginal note 230,Siege and battle of Verona.
marginal note 231,Indolence and fears of Maxentius.
marginal note 232,Victory of Conſtantine near Rome. A. D. 312. 28th Oct.
marginal note 233,"His reception,"
marginal note 234,and conduct at Rome.
marginal note 235,His alliance with Licinius. A. D. 313. March.
marginal note 236,War between Maximin and Licinius. A. D. 313.
marginal note 237,"The defeat, April 30,"
marginal note 238,and death of the former.Auguſt.
marginal note 239,Cruelty of Licinius.
marginal note 240,Unfortunate fate of the empreſs Valeria and her mother.
marginal note 241,Quarrel between Conſtantine and Licinius. A. D. 314.
marginal note 242,Firſt civil war between them.
marginal note 243,Battle of Cibalis. A. D. 315. 8th Oct.
marginal note 244,Battle of Mardia.
marginal note 245,Treaty of peace.December.
marginal note 246,General peace and laws of Conſtantine. A. D. 315—323.
marginal note 247,The Gothic war.
marginal note 248,A. D. 322.
marginal note 249,Second civil war between Conſtantine and Licinius. A. D. 323.
marginal note 250,Battle of Hadrianople. A. D. 323. July 3.
marginal note 251,"Siege of Byzantium, and naval victory of Criſpus."
marginal note 252,Battle of Chryſopolis.
marginal note 253,Submiſſion and death of Licinius.
marginal note 254,Re-union of the empire. A. D. 324.
marginal note 255,Importance of the inquiry.
marginal note 256,Its difficulties.
marginal note 257,Five cauſes of the growth of Chriſtianity.
marginal note 258,THE FIRST CAUSE. Zeal of the Jews.
marginal note 259,Its gradual increaſe.
marginal note 260,Their religion better ſuited to defence than to conqueſt.
marginal note 261,More liberal zeal of Chriſtianity.
marginal note 262,Obſtinacy and reaſons of the believing Jews.
marginal note 263,The Nazarene church of Jeruſalem.
marginal note 264,The Ebionites.
marginal note 265,The Gnoſtics.
marginal note 266,"Their ſects, progreſs, and influence."
marginal note 267,The daemons conſidered as the gods of antiquity.
marginal note 268,Abhorrence of the Chriſtians for idolatry.
marginal note 269,Ceremonies.
marginal note 270,Arts.
marginal note 271,Feſtivals.
marginal note 272,Zeal for Chriſtianity.
marginal note 273,THE SECOND CAUSE. The doctrine of the immortality of the ſoul among the philoſophers;
marginal note 274,among the Pagans of Greece and Rome;
marginal note 275,among the barbarians;
marginal note 276,among the Jews;
marginal note 277,among the Chriſtians.
marginal note 278,Approaching end of the world.
marginal note 279,Doctrine of the Millennium.
marginal note 280,Conflagration of Rome and of the world.
marginal note 281,The Pagans devoted to eternal puniſhment.
marginal note 282,Were often converted by their fears.
marginal note 283,THE THIRD CAUSE. Miraculous powers of the primitive church.
marginal note 284,Their truth conteſted.
marginal note 285,Our perplexity in defining the miraculous period.
marginal note 286,Uſe of the primitive miracles.
marginal note 287,THE FOURTH CAUSE. Virtues of the firſt Chriſtians.
marginal note 288,Effects of their repentance.
marginal note 289,Care of their reputation.
marginal note 290,Morality of the fathers.
marginal note 291,Principles of human nature.
marginal note 292,The primitive Chriſtians condemn pleaſure and luxury.
marginal note 293,Their ſentiments concerning marriage and chaſtity.
marginal note 294,Their averſion to the buſineſs of war and government.
marginal note 295,THE FIFTH CAUSE. The Chriſtians active in the government of the church.
marginal note 296,Its primitive freedom and equality.
marginal note 297,Inſtitution of biſhops as preſidents of the college of preſbyters.
marginal note 298,Provincial councils.
marginal note 299,Union of the church.
marginal note 300,Progreſs of epiſcopal authority.
marginal note 301,Pre-eminence of the metropolitan churches.
marginal note 302,Ambition of the Roman pontiff.
marginal note 303,Laity and clergy.
marginal note 304,Oblations and revenue of the church.
marginal note 305,Diſtribution of the revenue.
marginal note 306,Excommunication.
marginal note 307,Public penance.
marginal note 308,The dignity of epiſcopal government.
marginal note 309,Recapitulation of the five cauſes.
marginal note 310,Weakneſs of polytheiſm.
marginal note 311,"The ſcepticiſm of the Pagan world proved favourable to the new religion,"
marginal note 312,as well as the peace and union of the Roman empire.
marginal note 313,Hiſtorical view of the progreſs of Chriſtianity
marginal note 314,in the Eaſt.
marginal note 315,The church of Antioch.
marginal note 316,In Egypt.
marginal note 317,In Rome.
marginal note 318,In Africa and the weſtern provinces.
marginal note 319,Beyond the limits of the Roman empire.
marginal note 320,General proportion of Chriſtians and Pagans.
marginal note 321,Whether the firſt Chriſtians were mean and ignorant.
marginal note 322,Some exceptions with regard to learning;
marginal note 323,with regard to rank and fortune.
marginal note 324,Chriſtianity moſt favourably received by the poor and ſimple.
marginal note 325,Rejected by ſome eminent men of the firſt and ſecond centuries.
marginal note 326,Their neglect of prophecy
marginal note 327,and of miracles.
marginal note 328,General ſilence concerning the darkneſs of the Paſſion.
marginal note 329,Chriſtianity perſecuted by the Roman emperors.
marginal note 330,Inquiry into their motives.
marginal note 331,Rebellious ſpirit of the Jews.
marginal note 332,Toleration of the Jewiſh religion.
marginal note 333,"The Jews were a people which followed, the Chriſtians a ſect which deſerted, the religion of their fathers."
marginal note 334,"Chriſtianity accuſed of atheiſm, and miſtaken by the people and philoſophers."
marginal note 335,The union and aſſemblies of the Chriſtians conſidered as a dangerous conſpiracy.
marginal note 336,Their manners calumniated.
marginal note 337,Their imprudent defence.
marginal note 338,Idea of the conduct of the emperors towards the Chriſtians.
marginal note 339,They neglected the Chriſtians as a ſect of Jews.
marginal note 340,The fire of Rome under the reign of Nero.
marginal note 341,"Cruel puniſhment of the Chriſtians, as the incendiaries of the city."
marginal note 342,Remarks on the paſſage of Tacitus relative to the perſecution of the Chriſtians by Nero.
marginal note 343,Oppreſſion of the Jews and Chriſtians by Domitian.
marginal note 344,Execution of Clemens the conſul.
marginal note 345,Ignorance of Pliny concerning the Chriſtians.
marginal note 346,Trajan and his ſucceſſors eſtabliſh a legal mode of proceeding againſt them.
marginal note 347,Popular clamours.
marginal note 348,Trials of the Chriſtians.
marginal note 349,Humanity of the Roman magiſtrates.
marginal note 350,Inconſiderable number of martyrs.
marginal note 351,Example of Cyprian biſhop of Carthage.
marginal note 352,His danger and flight.
marginal note 353,A. D. 257. His baniſhment.
marginal note 354,His condemnation.
marginal note 355,His martyrdom.
marginal note 356,Various incitements to martyrdom.
marginal note 357,Ardour of the firſt Chriſtians.
marginal note 358,Gradual relaxation.
marginal note 359,Three methods of eſcaping martyrdom.
marginal note 360,Alternatives of ſeverity and toleration.
marginal note 361,The ten perſecutions.
marginal note 362,Suppoſed edicts of Tiberius and Marcus Antoninus.
marginal note 363,State of the Chriſtians in the reigns of Commodus and Severus. A. D. 180.
marginal note 364,A. D. 198.
marginal note 365,Of the ſucceſſors of Severus.
marginal note 366,A. D. 211—249.
marginal note 367,A. D. 235.
marginal note 368,"Of Maximin, Philip, and Decius."
marginal note 369,A. D. 244.
marginal note 370,A. D. 249.
marginal note 371,"Of Valerian, Gallienus, and his ſucceſſors."
marginal note 372,A. D. 253—260.
marginal note 373,"Paul of Samoſata, his manners."
marginal note 374,A. D. 260.
marginal note 375,He is degraded from the ſee of Antioch.
marginal note 376,A. D. 270.
marginal note 377,The ſentence is executed by Aurelian.
marginal note 378,A. D. 274.
marginal note 379,Peace and proſperity of the church under Diocletian.
marginal note 380,A. D. 284—303.
marginal note 381,Progreſs of zeal and ſuperſtition among the Pagans.
marginal note 382,Maximian and Galerius puniſh a few Chriſtian ſoldiers.
marginal note 383,Galerius prevails on Diocletian to begin a general perſecution.
marginal note 384,Demolition of the church of Nicomedia. A. D. 303. 23d Feb.
marginal note 385,The firſt edict againſt the Chriſtians. 24th of February.
marginal note 386,Zeal and〈…〉a Chriſtian.
marginal note 387,Fire of the palace of Nicomedia imputed to the Chriſtians.
marginal note 388,Execution of the firſt edict.
marginal note 389,Demolition of the churches.
marginal note 390,Subſequent edicts.
marginal note 391,"General idea of the perſecution,"
marginal note 392,In the weſtern provinces under Conſtantius and Conſtantine;
marginal note 393,"in Italy and Africa, under Maximian and Severus;"
marginal note 394,under Maxentius;
marginal note 395,"in Illyricum and the Eaſt, under Galerius and Maximian."
marginal note 396,Galerius publiſhes an edict of toleration.
marginal note 397,Peace of the church.
marginal note 398,Maximin prepares to renew the perſecution.
marginal note 399,End of the perſecutions.
marginal note 400,Probable account of the ſufferings of the martyrs and confeſſors.
marginal note 401,Number of martyrs.
marginal note 402,Concluſion.
